,tSNE_x,tSNE_y,Location,Type,id
167,7.9281707,-29.374023,Ireland,Residential,1169
168,-19.575056,-1.7907525,Ireland,Residential,1170
169,35.350803,-9.3689165,Ireland,Residential,1171
170,36.1942,-45.86289,Ireland,Residential,1172
171,24.980202,63.007023,Ireland,Residential,1173
172,-33.79301,55.75109,Ireland,Residential,1174
173,23.51665,66.66327,Ireland,Residential,1175
174,3.714042,-5.3346853,Ireland,Residential,1176
175,48.53313,19.53576,Ireland,Residential,1177
176,-54.81574,-20.887257,Ireland,Residential,1178
177,32.646503,37.109173,Ireland,Residential,1179
178,6.123773,34.739395,Ireland,Residential,1180
179,41.2263,-50.793877,Ireland,Residential,1181
180,22.516832,14.13834,Ireland,Residential,1182
181,-43.136303,-18.994648,Ireland,Residential,1183
182,-23.837187,-62.733276,Ireland,Residential,1184
183,-37.53847,69.935455,Ireland,Residential,1185
184,19.57955,38.765583,Ireland,Residential,1186
185,-27.622427,73.18267,Ireland,Residential,1187
186,17.929659,63.75892,Ireland,Residential,1188
187,-6.414903,-49.938793,Ireland,Residential,1189
188,-30.637802,26.061989,Ireland,Residential,1190
189,36.44977,5.4486237,Ireland,Residential,1191
190,-24.981733,-57.546364,Ireland,Residential,1192
191,-24.718988,69.286026,Ireland,Residential,1194
192,5.388587,-71.88213,Ireland,Residential,1195
193,-28.705853,73.05952,Ireland,Residential,1196
194,4.732672,20.423168,Ireland,Residential,1197
195,-42.906536,62.869965,Ireland,Residential,1198
196,-10.073096,-48.86837,Ireland,Residential,1199
197,-32.677475,66.51022,Ireland,Residential,1200
198,5.607101,-23.982376,Ireland,Residential,1201
199,-37.10298,-3.8861709,Ireland,Residential,1202
200,26.939774,-12.73938,Ireland,Residential,1203
201,-66.93696,-5.0157113,Ireland,Residential,1204
202,-3.8943596,40.027367,Ireland,Residential,1205
203,4.782393,-3.4538472,Ireland,Residential,1206
204,-16.254969,48.16824,Ireland,Residential,1207
205,-1.6167501,-60.41219,Ireland,Residential,1208
206,-30.277672,62.928814,Ireland,Residential,1209
207,-32.712997,-42.870903,Ireland,Residential,1210
208,-24.152761,73.194374,Ireland,Residential,1211
209,2.228112,29.025013,Ireland,Residential,1212
210,-14.145973,-14.936863,Ireland,Residential,1213
211,5.925131,-39.94997,Ireland,Residential,1214
212,5.5789704,-14.524827,Ireland,Residential,1215
213,-56.475773,24.403763,Ireland,Residential,1216
214,27.903185,36.356354,Ireland,Residential,1217
215,38.642204,14.474399,Ireland,Residential,1218
216,-45.72,2.080196,Ireland,Residential,1219
217,-24.075094,-59.537395,Ireland,Residential,1220
218,-32.285896,-15.473388,Ireland,Residential,1221
219,-30.974134,-10.347556,Ireland,Residential,1222
220,-27.900434,-13.641302,Ireland,Residential,1223
221,22.37043,-49.412792,Ireland,Residential,1224
222,-4.9744377,-8.17934,Ireland,Residential,1225
223,-5.55182,-57.363132,Ireland,Residential,1226
224,22.393173,62.002586,Ireland,Residential,1227
225,48.118523,-46.51729,Ireland,Residential,1228
226,-15.459583,71.229355,Ireland,Residential,1229
227,-15.735814,-4.1634235,Ireland,Residential,1230
228,-58.290855,20.191591,Ireland,Residential,1231
229,11.541629,0.51612926,Ireland,Residential,1232
230,-13.018772,55.701874,Ireland,Residential,1233
231,-47.70267,-46.51283,Ireland,Residential,1234
232,4.449606,-24.544903,Ireland,Residential,1235
233,-15.750091,-4.3313394,Ireland,Residential,1236
234,42.950436,-51.79584,Ireland,Residential,1237
235,4.8172045,1.7184316,Ireland,Residential,1238
236,-30.265896,-11.834332,Ireland,Residential,1239
237,9.274244,-0.22678472,Ireland,Residential,1240
238,-44.83667,62.420055,Ireland,Residential,1241
239,45.18419,-48.978573,Ireland,Residential,1242
240,-0.641584,-71.27745,Ireland,Residential,1243
241,-57.64347,-4.7997193,Ireland,Residential,1244
242,-25.497541,80.31494,Ireland,Residential,1245
243,-29.645391,71.92643,Ireland,Residential,1246
244,-23.764997,57.862995,Ireland,Residential,1247
245,-17.91536,65.955986,Ireland,Residential,1248
246,14.599275,-69.7116,Ireland,Residential,1249
247,-50.029243,23.046665,Ireland,Residential,1250
248,1.786417,-15.047974,Ireland,Residential,1251
249,-23.43178,-56.836502,Ireland,Residential,1252
250,1.0807577,-24.75023,Ireland,Residential,1253
251,47.620087,-39.061543,Ireland,Residential,1254
252,-38.528336,54.334625,Ireland,Residential,1255
253,-41.946915,31.211105,Ireland,Residential,1257
254,22.837656,9.363872,Ireland,Residential,1258
255,-1.7364722,-70.38685,Ireland,Residential,1259
256,-33.939598,23.116266,Ireland,Residential,1260
257,-14.543418,63.51058,Ireland,Residential,1261
258,7.8771853,-69.901245,Ireland,Residential,1262
259,-10.931733,-14.72798,Ireland,Residential,1263
260,-29.515345,46.285137,Ireland,Residential,1264
261,-20.571638,74.649055,Ireland,Residential,1265
262,-51.135403,-20.350368,Ireland,Residential,1266
263,-0.43533406,39.079483,Ireland,Residential,1267
264,-31.014399,55.914608,Ireland,Residential,1268
265,17.967337,68.9266,Ireland,Residential,1269
266,-38.13712,56.36246,Ireland,Residential,1270
267,9.297893,35.957314,Ireland,Residential,1271
268,40.910835,-51.53617,Ireland,Residential,1272
269,21.230642,37.0668,Ireland,Residential,1273
270,-6.6620364,-0.5800371,Ireland,Residential,1274
271,-44.988914,-48.705746,Ireland,Residential,1275
272,-24.319977,-12.425897,Ireland,Residential,1276
273,-8.814939,-62.075905,Ireland,Residential,1277
274,-32.917427,-36.29306,Ireland,Residential,1278
275,9.441686,-21.321068,Ireland,Residential,1279
276,23.90987,31.007675,Ireland,Residential,1280
277,9.02958,-25.963976,Ireland,Residential,1281
278,-30.961079,-29.193588,Ireland,Residential,1283
279,-27.248163,4.6686325,Ireland,Residential,1284
280,42.357056,-48.5819,Ireland,Residential,1285
281,-17.394882,-16.794441,Ireland,Residential,1286
282,9.771464,-62.504738,Ireland,Residential,1287
283,-2.7619267,-2.0910149,Ireland,Residential,1288
284,-16.016987,51.356182,Ireland,Residential,1289
285,-12.676693,55.515385,Ireland,Residential,1290
286,-62.773975,-0.8547421,Ireland,Residential,1291
287,-18.957186,-1.2455833,Ireland,Residential,1292
288,-25.623165,51.153954,Ireland,Residential,1293
289,-21.008892,59.57138,Ireland,Residential,1294
290,14.801057,-10.065151,Ireland,Residential,1295
291,15.6253805,43.8271,Ireland,Residential,1296
292,-22.05508,-15.2463455,Ireland,Residential,1297
293,3.6302245,-12.24636,Ireland,Residential,1298
294,-50.691082,26.012661,Ireland,Residential,1299
295,-15.355845,48.535034,Ireland,Residential,1300
296,-45.24228,-46.89007,Ireland,Residential,1301
297,-48.050304,-19.66985,Ireland,Residential,1302
298,-57.681595,19.65695,Ireland,Residential,1303
299,-26.788538,-1.2723395,Ireland,Residential,1304
300,-30.159494,-26.267536,Ireland,Residential,1305
301,-56.125175,28.607985,Ireland,Residential,1306
302,25.214523,66.267685,Ireland,Residential,1307
303,8.02901,39.937588,Ireland,Residential,1308
304,-15.763933,54.521976,Ireland,Residential,1309
305,-23.302858,-8.283314,Ireland,Residential,1310
306,-62.570812,-4.047511,Ireland,Residential,1311
307,31.371143,-33.584446,Ireland,Residential,1312
308,-37.27545,57.413464,Ireland,Residential,1313
309,23.929644,37.007866,Ireland,Residential,1314
310,-38.863243,61.439934,Ireland,Residential,1315
311,28.272661,-21.536955,Ireland,Residential,1316
312,-28.11519,68.09405,Ireland,Residential,1317
313,-11.271108,66.12823,Ireland,Residential,1318
314,7.0494833,26.435816,Ireland,Residential,1319
315,36.2395,-4.2255116,Ireland,Residential,1320
316,15.893793,68.4936,Ireland,Residential,1321
317,-67.04249,12.3195915,Ireland,Residential,1322
318,-57.085644,-2.3567548,Ireland,Residential,1323
319,-28.840023,-18.512087,Ireland,Residential,1324
320,-6.1756873,2.4393516,Ireland,Residential,1325
321,1.0589284,-12.718485,Ireland,Residential,1326
322,-35.240818,-6.2344494,Ireland,Residential,1327
323,-7.7578006,-4.2031913,Ireland,Residential,1328
324,3.7728465,-61.303963,Ireland,Residential,1329
325,45.7013,-46.114395,Ireland,Residential,1330
326,-58.69612,-9.640319,Ireland,Residential,1331
327,-18.553387,-2.1920536,Ireland,Residential,1332
328,47.605057,-35.03659,Ireland,Residential,1333
329,5.2633038,-31.339664,Ireland,Residential,1334
330,9.58534,-69.526505,Ireland,Residential,1335
331,-8.112192,-58.24883,Ireland,Residential,1336
332,-70.42146,-3.2108483,Ireland,Residential,1337
333,-26.570583,71.90414,Ireland,Residential,1338
334,21.351593,35.837406,Ireland,Residential,1339
335,30.457487,-34.275013,Ireland,Residential,1340
336,-2.6205618,-9.656058,Ireland,Residential,1341
337,-5.8513746,-8.540062,Ireland,Residential,1342
338,38.20179,21.877146,Ireland,Residential,1343
339,-16.341822,54.08183,Ireland,Residential,1344
340,10.276106,-57.220146,Ireland,Residential,1345
341,-35.956482,-15.197643,Ireland,Residential,1346
