,PC_0,PC_1,id,Location,Type
8793,0.35401757045298127,-1.3208257707841387,MAC002109,London,Residential
8794,-2.136387570511601,1.0682516780543647,MAC002111,London,Residential
8795,0.8650957929986118,-2.782862199503816,MAC002112,London,Residential
8796,-3.7769983303087624,2.079787086339079,MAC002113,London,Residential
8797,-1.665296775502492,0.44047780465326863,MAC002114,London,Residential
8798,-4.446453077455658,3.36644568064805,MAC002115,London,Residential
8799,-3.9891463786187717,2.2636106201509576,MAC002116,London,Residential
8800,-3.5705954936604667,2.5228875603783036,MAC002117,London,Residential
8801,-2.6775433197740086,1.4847353218608665,MAC002118,London,Residential
8802,2.586028305379617,-3.3515213097012326,MAC002119,London,Residential
8803,-2.2445153442557184,0.848545178033042,MAC002120,London,Residential
8804,-2.9202575203296233,1.3043061765971047,MAC002121,London,Residential
8805,-2.083204920972454,0.7720569182051855,MAC002122,London,Residential
8806,-0.48240087936922244,-1.3174267829215445,MAC002123,London,Residential
8807,-0.32433922263419657,-0.9368395096347913,MAC002124,London,Residential
8808,-0.4466778054490544,-1.7347310755525955,MAC002125,London,Residential
8809,-2.036791596307242,0.5899179663627304,MAC002126,London,Residential
8810,-3.3532870231389253,1.701093847269016,MAC002127,London,Residential
8811,-7.161632708430525,5.790077451395597,MAC002128,London,Residential
8812,0.521596264839978,-1.8814049863156088,MAC002129,London,Residential
8813,-2.4324452225043287,2.0980885044035333,MAC002130,London,Residential
8814,-0.277430654999977,-1.0734512030607115,MAC002131,London,Residential
8815,-0.30987134087537455,-1.1896263053846012,MAC002132,London,Residential
8816,-4.427550483562187,2.8574660422529226,MAC002133,London,Residential
8817,-0.22074223061021442,-0.8664537754687738,MAC002134,London,Residential
8818,-0.6490173046909223,-1.1711328611479712,MAC002135,London,Residential
8819,-3.6240204377257763,1.7497551932464757,MAC002136,London,Residential
8820,2.8768714887923212,-4.258189312796722,MAC002137,London,Residential
8821,0.25519406030848796,-1.5941151523149164,MAC002138,London,Residential
8822,-6.396181253710926,5.727049745506497,MAC002139,London,Residential
8823,0.0006764685974808516,-1.268169824654762,MAC002140,London,Residential
8824,-1.0518449431877417,-0.2141024764992954,MAC002141,London,Residential
8825,-1.0917205748039713,0.12704979819955653,MAC002142,London,Residential
8826,-2.0480858189723423,-0.11055985565706347,MAC002143,London,Residential
8827,-3.7056394109593995,1.9118736505655944,MAC002144,London,Residential
8828,-5.693138869973841,4.0442455076766235,MAC002145,London,Residential
8829,-1.0334784870132536,-1.2684324586113722,MAC002146,London,Residential
8830,-5.1972118677031265,3.909153525894556,MAC002147,London,Residential
8831,-0.43437365060768257,-1.0469848026970245,MAC002148,London,Residential
8832,-4.304257560924652,2.809054569836869,MAC002149,London,Residential
8833,-4.324095459653912,2.9426128496972828,MAC002150,London,Residential
8834,-3.275585240361713,1.84432836514493,MAC002151,London,Residential
8835,-4.208490317067502,2.979883839557994,MAC002152,London,Residential
8836,1.2782833676533831,-2.7822756391215666,MAC002153,London,Residential
8837,-0.912894056972596,-0.8587528587235529,MAC002154,London,Residential
8838,0.8475890937594264,-2.6041343281065683,MAC002155,London,Residential
8839,-3.979133519753868,2.0113208406074703,MAC002156,London,Residential
8840,0.7511529506906856,-2.153770482796594,MAC002157,London,Residential
8841,-0.66421518583609,-0.373118119349813,MAC002158,London,Residential
8842,0.15642527935236167,-0.9665157436473905,MAC002159,London,Residential
8843,-2.0225036663233293,0.07574665202944926,MAC002160,London,Residential
8844,-3.885354772820733,2.2100243937787787,MAC002161,London,Residential
8845,2.8957529145651666,-5.5750700085316085,MAC002162,London,Residential
8846,0.9456731784157879,-2.1979547427502837,MAC002163,London,Residential
8847,-0.53179120275189,-0.8476949648003711,MAC002164,London,Residential
8848,-0.050859691303066876,-1.4253484841707298,MAC002165,London,Residential
8849,-0.9605953847409536,-0.6455214241484711,MAC002166,London,Residential
8850,-3.174946194502816,1.560903706589067,MAC002167,London,Residential
8851,0.38162625790890464,-1.6870847999809342,MAC002168,London,Residential
8852,0.8733333441165826,-2.405603005503125,MAC002169,London,Residential
8853,-0.11325308283418578,-1.24770571850588,MAC002170,London,Residential
8854,-2.3735918418938677,0.936890270177224,MAC002171,London,Residential
8855,-3.6947066596737823,2.7334366247441553,MAC002172,London,Residential
8856,-4.275584146868924,3.0081113274288303,MAC002173,London,Residential
8857,-6.126289777745401,4.796581197479448,MAC002174,London,Residential
8858,4.117576186049362,-5.558076257769996,MAC002175,London,Residential
8859,-0.28466471227175,-0.9488091750500564,MAC002176,London,Residential
8860,-1.0304319784056373,-0.36186291265794346,MAC002177,London,Residential
8861,0.5723585426744247,-1.7559965383975205,MAC002178,London,Residential
8862,1.5887003619896736,-3.1851459105370306,MAC002179,London,Residential
8863,-3.2400247570605543,1.7939208776053852,MAC002180,London,Residential
8864,-0.27448364396822583,-1.6323952618379591,MAC002181,London,Residential
8865,0.07768195692066787,-1.8756025245161094,MAC002182,London,Residential
8866,-2.034394975712166,0.8001029647135466,MAC002183,London,Residential
8867,-1.2730964676768515,-0.6520269611008617,MAC002184,London,Residential
8868,-2.0707823061228563,0.7147851273210013,MAC002185,London,Residential
8869,-1.1559031052337554,-0.5863697129807797,MAC002186,London,Residential
8870,-0.2437660213388999,-1.2169221500646266,MAC002187,London,Residential
8871,-1.6853912781262128,0.18768905987622223,MAC002188,London,Residential
8872,1.264432833301059,-2.3851950399939894,MAC002189,London,Residential
8873,0.4522076326049478,-1.9060357518686704,MAC002190,London,Residential
8874,-1.9152034609260096,0.4769476286825985,MAC002191,London,Residential
8875,-0.6313784549918111,-0.7442370665485215,MAC002192,London,Residential
8876,-2.1218527739787723,0.891598065984526,MAC002193,London,Residential
8877,-0.4384582886544438,-0.9425692550563776,MAC002194,London,Residential
8878,-7.901243351258045,6.91764051311473,MAC002195,London,Residential
8879,-4.276916543233136,2.6194924898187857,MAC002196,London,Residential
8880,-6.316957490795269,5.376136047009082,MAC002197,London,Residential
8881,-4.196918415913513,3.4759807997982386,MAC002198,London,Residential
8882,2.1851197885404905,-3.269291014499934,MAC002199,London,Residential
8883,-0.5733777464496145,-0.8164012930243741,MAC002200,London,Residential
