,comp-1,comp-2,unique_id,Type,Location
349,-59.88411,16.556364,1354,Residential,Ireland
350,-17.38397,-14.51126,1355,Residential,Ireland
351,37.969578,-10.606937,1356,Residential,Ireland
352,-48.77832,-23.279339,1357,Residential,Ireland
353,-35.925133,-20.138878,1359,Residential,Ireland
354,-60.01402,-12.584875,1360,Residential,Ireland
355,-3.962828,-39.845657,1361,Residential,Ireland
356,15.84474,-18.796673,1362,Residential,Ireland
357,14.988463,-2.2057915,1363,Residential,Ireland
358,-26.021954,-10.416828,1364,Residential,Ireland
359,7.5814075,-54.92876,1365,Residential,Ireland
360,42.30431,-0.44623035,1366,Residential,Ireland
361,-7.241996,0.5293058,1367,Residential,Ireland
362,-0.92890024,-25.00651,1368,Residential,Ireland
363,46.382153,-7.4636326,1369,Residential,Ireland
364,34.181183,-40.09285,1370,Residential,Ireland
365,-28.302938,-40.210453,1371,Residential,Ireland
366,-3.2699246,-40.405212,1372,Residential,Ireland
367,-52.81444,12.214727,1373,Residential,Ireland
368,0.7429418,-34.788853,1374,Residential,Ireland
369,0.9274871,3.9175956,1375,Residential,Ireland
370,5.3005548,-24.974115,1376,Residential,Ireland
371,9.02565,-38.79469,1377,Residential,Ireland
372,-4.153097,-52.380672,1378,Residential,Ireland
373,9.546658,-22.049362,1379,Residential,Ireland
374,-54.59449,4.233244,1380,Residential,Ireland
375,-6.4186745,-31.482231,1381,Residential,Ireland
376,29.007465,-29.093063,1382,Residential,Ireland
377,-34.161533,-20.94392,1383,Residential,Ireland
378,13.867149,-43.09912,1384,Residential,Ireland
379,-57.86276,-14.286156,1385,Residential,Ireland
380,57.334618,-1.135614,1386,Residential,Ireland
381,-19.764984,17.14623,1387,Residential,Ireland
382,34.980434,-19.066992,1388,Residential,Ireland
383,-49.622368,12.705003,1389,Residential,Ireland
384,-4.3409843,-28.777218,1390,Residential,Ireland
385,54.499866,-15.216666,1391,Residential,Ireland
386,-38.207073,-52.43372,1392,Residential,Ireland
387,15.595303,-4.5832567,1393,Residential,Ireland
388,-63.30669,5.1932297,1394,Residential,Ireland
389,-26.204048,-23.693916,1395,Residential,Ireland
390,-11.983749,-31.403458,1397,Residential,Ireland
391,-9.381924,-29.012777,1398,Residential,Ireland
392,-36.672874,-9.481101,1399,Residential,Ireland
393,53.600258,-21.16664,1400,Residential,Ireland
394,55.37108,-20.61613,1401,Residential,Ireland
395,14.574116,-12.209879,1402,Residential,Ireland
396,-16.686972,-21.944735,1403,Residential,Ireland
397,29.67608,-47.999527,1404,Residential,Ireland
398,-19.675606,-34.63243,1405,Residential,Ireland
399,-26.844187,17.760902,1406,Residential,Ireland
400,-44.05563,-26.008772,1407,Residential,Ireland
401,-6.3751464,-60.27511,1408,Residential,Ireland
402,-54.95967,-14.06422,1409,Residential,Ireland
403,-50.983246,4.3823576,1410,Residential,Ireland
404,33.030197,-16.431677,1411,Residential,Ireland
405,-40.493073,-38.387547,1412,Residential,Ireland
406,1.4701197,-37.49408,1413,Residential,Ireland
407,51.445484,-19.522755,1414,Residential,Ireland
408,47.322052,-24.54857,1415,Residential,Ireland
409,5.240983,-45.407326,1416,Residential,Ireland
410,-2.0831606,-10.559148,1417,Residential,Ireland
411,-26.887775,17.038132,1418,Residential,Ireland
412,62.4534,-20.78861,1419,Residential,Ireland
413,-23.67082,54.052864,1420,Residential,Ireland
414,-52.648632,-9.802874,1421,Residential,Ireland
415,-47.24575,-24.946682,1422,Residential,Ireland
416,-23.052685,-36.488796,1423,Residential,Ireland
417,32.73041,-7.438263,1424,Residential,Ireland
418,8.567669,-17.559198,1425,Residential,Ireland
419,-22.963717,-5.4172697,1426,Residential,Ireland
420,11.521588,-32.983612,1427,Residential,Ireland
421,-7.262071,-40.289257,1428,Residential,Ireland
422,-27.41148,-6.695313,1429,Residential,Ireland
423,-47.429607,-33.635036,1430,Residential,Ireland
424,3.5184963,-4.966802,1431,Residential,Ireland
425,-20.796,-23.534027,1432,Residential,Ireland
426,53.214924,-32.40373,1433,Residential,Ireland
427,7.8342667,-22.9328,1434,Residential,Ireland
428,-19.888939,-41.617607,1435,Residential,Ireland
429,12.698166,-39.275284,1436,Residential,Ireland
430,-14.974177,-52.332447,1437,Residential,Ireland
431,-22.97904,-18.714003,1438,Residential,Ireland
432,58.81289,-9.870796,1439,Residential,Ireland
433,-35.656994,-3.3054564,1440,Residential,Ireland
434,-44.83601,21.965954,1441,Residential,Ireland
435,-3.4303174,-34.132206,1442,Residential,Ireland
436,56.528786,-13.978034,1443,Residential,Ireland
437,11.642213,-40.78177,1444,Residential,Ireland
438,-43.104324,-28.28181,1445,Residential,Ireland
439,-21.610163,54.484566,1446,Residential,Ireland
440,56.250175,-21.768097,1447,Residential,Ireland
441,-39.24726,10.301386,1448,Residential,Ireland
442,-35.608612,-52.046227,1449,Residential,Ireland
443,-21.610971,-14.838614,1450,Residential,Ireland
444,22.736528,-15.061965,1451,Residential,Ireland
445,3.9499364,-45.414597,1452,Residential,Ireland
446,-42.324898,-6.50284,1453,Residential,Ireland
447,-21.559738,52.656425,1454,Residential,Ireland
448,-11.068511,-53.82023,1455,Residential,Ireland
449,44.247982,-29.728937,1456,Residential,Ireland
450,44.22211,-16.580078,1457,Residential,Ireland
451,-15.209783,-13.129534,1458,Residential,Ireland
452,-30.50973,-16.842567,1459,Residential,Ireland
453,-33.617504,-26.974392,1460,Residential,Ireland
454,-17.90157,-44.501476,1461,Residential,Ireland
455,-39.702312,-18.20536,1462,Residential,Ireland
456,-21.997772,-33.52613,1463,Residential,Ireland
457,23.073309,-35.881428,1464,Residential,Ireland
458,22.814283,-27.55864,1465,Residential,Ireland
459,-28.954363,-34.39189,1466,Residential,Ireland
460,58.272438,-16.994095,1467,Residential,Ireland
461,-4.838901,-59.65754,1468,Residential,Ireland
462,-40.529495,-6.24425,1469,Residential,Ireland
463,-5.5330763,16.172228,1470,Residential,Ireland
464,-22.163765,-6.3690114,1471,Residential,Ireland
465,-41.774815,-9.059166,1472,Residential,Ireland
466,0.12054296,-45.57421,1473,Residential,Ireland
467,-10.023575,-20.512468,1474,Residential,Ireland
468,-22.525028,-54.102978,1475,Residential,Ireland
469,1.1663365,4.114658,1476,Residential,Ireland
470,-59.9852,17.912848,1477,Residential,Ireland
471,61.385815,-16.537077,1478,Residential,Ireland
472,-10.000799,-50.80557,1479,Residential,Ireland
473,23.001396,-35.75979,1480,Residential,Ireland
474,28.148235,-38.70657,1481,Residential,Ireland
475,-8.575111,-56.37592,1482,Residential,Ireland
476,-0.415863,-51.81423,1483,Residential,Ireland
477,-21.652824,52.944214,1484,Residential,Ireland
478,-32.33697,-28.738968,1485,Residential,Ireland
479,-7.7629447,-33.058224,1486,Residential,Ireland
480,-30.239695,6.866169,1487,Residential,Ireland
481,-59.981213,17.564953,1488,Residential,Ireland
482,-6.2177577,9.864614,1490,Residential,Ireland
483,-12.181563,22.33213,1491,Residential,Ireland
484,12.034275,-13.936715,1492,Residential,Ireland
485,3.3356266,-39.58994,1493,Residential,Ireland
486,22.731985,-30.551626,1494,Residential,Ireland
487,-29.544046,50.021347,1495,Residential,Ireland
488,-47.75678,-2.6851594,1496,Residential,Ireland
489,-58.61627,-12.620818,1497,Residential,Ireland
490,-38.383553,-5.5858054,1498,Residential,Ireland
491,-3.6457472,14.244837,1499,Residential,Ireland
492,-22.438597,14.77236,1500,Residential,Ireland
